Join_Count,TARGET_FID,proyecto,FREQUENCY,region_zon,latitud,longitud,precio_m2,Total_Pric,superficie,niveles,torres,unidades,ascensor,dormitorio,sanitarios,parqueos,parqueos_m,balcon,piscina,gimnasio,areas_verd,area_socia,areas_depo,juegos,Densidad,Porcentaje,Porcenta_1,Porcenta_2,Porcenta_3,Porcenta_4,Dist_DBC,Dist_CH,Dist_Trans,Count_Tran,Dist_Tra_1,Count_Tr_1,Dist_Educa,Count_Educ,Dist_Salud,Count_Salu,Dist_Cultu,Count_Cult,Dist_parqu,Area_parqu,Dist_Resta,Count_Rest,Dist_hotel,Count_Hote,Dist_banco,Count_Banc,Dist_Ofico,Count_Ofic,Dist_indus,Count_Indu,Dist_Vías,G2,G3,G4,G5,ID,Zona,CLUSTER_ID,Municipio,ZONA_1,Población,km2,NEAR_FID
1,265,Novus,41,Zona 14,14.582776,-90.518,2304.365854,241098.4146,105.1863415,18,1,94,2,2.634146341,2.219512195,1.951219512,0,1,1,1,1,1,0,1,364,19,24,10,17,13,1.650421804,4.820452565,0.548124039,3,0.85840012,4,0.01077905,7,0.256724671,6,0.283077761,8,0.197084665,85978,0.223232534,22,0.34466277,1,0.165127413,18,0.045640858,12,0.628288912,3,0.461811318,0,0,1,0,265,14,1,Guatemala,14,16390,45,9
1,266,NU,25,Zona 15,14.58595271,-90.49151981,1660.68,199538.08,127.1472,8,1,26,1,2.4,2.36,2,0,1,0,0,1,1,0,0,119,19,37,16,17,17,1.823572368,4.726892096,2.994124745,0,0.7797163,2,0.170538493,11,0.403992641,3,0.390493459,1,0.170840538,117615,0.390176583,14,1.467746941,0,0.406181708,15,0.221975261,18,2.067320664,0,0.263183551,0,1,0,0,266,15,1,Guatemala,15,11192,94,16
1,267,Nua 12,20,Zona 12,14.59285,-90.5474,1856.6,80303.35,43.75,9,1,45,2,1.5,1.5,1,0,1,0,1,1,1,0,0,236,27,21,2,17,12,2.925575986,4.638609389,0.322497782,5,0.264874942,19,0.110021421,18,0.245482589,7,0.39043838,2,0.413026544,30880,0.179563202,11,0.780968924,1,0.299456334,14,0.343074901,11,0.578468205,10,0.270760706,0,1,0,0,267,12,1,Guatemala,12,28595,121,105
1,268,Nueva Caledonia,32,Zona 16,14.59364,-90.46206807,1374.84375,129936.4063,95,10,1,53,2,2.125,1.90625,1.8125,0,1,0,1,1,1,0,1,198,19,24,8,16,8,4.370466356,5.899415485,4.696911462,0,2.107074477,0,1.128139921,0,2.551800247,0,2.25450444,0,0.111708234,436,1.689957054,0,4.332457416,0,2.552616327,0,0.956231825,0,4.151583254,0,0.608204327,0,1,0,0,268,16,4,Guatemala,16,38996,197,16
1,269,O2,49,CAES,14.562193,-90.4671,1682.408163,123905.898,74.38163265,9,2,116,2,2.12244898,1.408163265,1.653061224,0,1,0,1,1,1,0,1,120,20,11,3,17,6,5.210420867,7.949583771,5.80991856,0,0.257208856,1,1.195137889,0,2.680761169,0,3.15976461,0,0.393023823,32127,0.30451524,8,1.824923651,0,0.316670069,7,0.25969214,11,2.776807806,0,0.2646253,0,0,0,0,269,42,1,Santa Catarina Pinula,0,80582,672,367
1,270,Oakland 12-24,3,Zona 10,14.59992358,-90.50274318,1636,286366,175,5,1,9,1,3,2,2,0,1,0,0,0,0,0,0,140,19,37,16,18,17,0.356682275,3.069506076,1.611708922,0,0.530827729,2,0.187451416,13,0.835386763,3,0.193068506,8,0.228183255,65383,0.507911031,22,0.71877219,3,0.287101259,14,0.51326737,7,1.585951907,0,0.540019262,1,0,0,0,270,10,1,Guatemala,10,7700,55,347
1,271,Olmos,19,Zona 16,14.6134,-90.4861,2500.947368,461534.3158,184.5436842,9,5,71,2,2.947368421,3.210526316,2,0,1,1,1,1,1,1,1,198,19,24,8,16,8,2.391975019,2.789799978,1.651066507,0,2.630967406,0,0.336798471,3,0.474155582,2,0.292017371,2,0.23367208,77321,0.20858199,12,2.578443121,0,0.430960126,2,0.055781687,4,1.294339266,0,0.241749251,0,1,0,0,271,16,1,Guatemala,16,38996,197,100
1,272,Orleans,6,Zona 15,14.59350965,-90.49518771,1638.5,323579,209.5,11,1,36,2,2.5,2,2,0,1,0,0,1,1,0,0,119,19,37,16,17,17,1.121602837,3.890600499,2.475009019,0,0.882353514,2,0.444972335,12,0.601890413,1,0.38877132,1,0.108361509,68733,0.107970341,4,1.043509772,0,0.074375257,12,0.183499003,7,2.101953209,0,0.110512497,0,0,1,0,272,15,1,Guatemala,15,11192,94,347
1,273,Oviedo Villas,15,Mixco Zona 4,14.663047,-90.5398,1196,138440.5333,115.76,4,11,88,0,3,2.5,2,0,0,0,0,1,1,1,1,516,23,14,2,17,7,5.856005655,2.410117687,1.656816935,0,2.409351899,0,0.944678122,0,1.267283536,0,2.101477985,0,0.516728787,432,0.755352185,1,3.05192933,0,0.727097684,1,1.603918526,0,1.384296203,0,1.174126855,0,0,0,0,273,35,2,Mixco,0,465775,902,316
1,274,Paradis apartamentos,1,Zona 16,14.60706,-90.4766,2113,169000,80,5,1,17,0,2,2,2,0,1,0,1,1,1,1,1,198,19,24,8,16,8,3.044765385,3.930813701,2.725609328,0,2.500489171,0,0.44446617,5,0.713144779,2,0.943294698,0,0.32779639,35801,0.695557953,3,3.29086621,0,0.971132549,0,0.583863206,2,2.219618779,0,0.779234904,0,1,0,0,274,16,1,Guatemala,16,38996,197,347
