TARGET_FID,proyecto,region_zon,latitud,longitud,precio_m2,Total_Pric,superficie,niveles,torres,unidades,ascensor,dormitorio,sanitarios,parqueos,Dist_DBC,Dist_CH,Dist_Trans,Dist_Tra_1,Dist_Educa,Dist_Salud,Dist_Cultu,Dist_parqu,Dist_Resta,Dist_hotel,Dist_banco,Dist_Ofico,Dist_indus,Dist_Vías,Población
432,Viró,Zona 11,14.604287,-90.5478,1758.230769,112867.0769,64.59038462,14,1,81,2,2.192307692,1.730769231,1.807692308,2.907315217,3.740902087,0.210214386,0.674683131,0.061381644,0.241359041,0.27532524,0.405153699,0.292599083,0.101029538,0.116759998,0.409219181,0.450527111,0.139587435,35003
433,Vista al Bosque,CAES,14.52382648,-90.509065,1233,104819,85,3,5,30,0,3,1,2,7.226146891,10.62565447,4.9487328,3.187178842,3.1929804,3.560658895,3.447684416,1.692588239,2.59698009,2.589578065,2.573383768,3.554959557,2.301317519,3.250157151,155422
434,Vista al Parque,Zona 15,14.587696,-90.487022,2327.230769,330695.5769,144.2307692,9,1,24,2,2.846153846,3,2.076923077,2.10958637,4.74990786,3.408749885,1.160827009,0.104245586,0.401528916,0.15962083,0.024903362,0.103835464,1.858060475,0.270928793,0.245334982,2.54844683,0.200704511,11192
435,Vistana,Zona 14,14.58354,-90.5203,2752.705882,398482,145.2347059,18,1,60,2,2.647058824,2.794117647,2,1.631402757,4.77979536,0.32290127,0.788668325,0.16982159,0.239530164,0.293833744,0.08331397,0.235951407,0.222228765,0.156183006,0.234768393,0.869786595,0.654616136,16390
436,Vistares,Zona 12,14.58306,-90.5451,1640.666667,116977.1667,71.60666667,12,1,118,2,2.833333333,1.5,1.833333333,3.110016143,5.397568899,1.145321138,0.068367763,0.137518672,0.257527677,0.773278009,0.62939949,0.127989057,1.135557393,0.102788892,0.680009638,0.087217035,0.07732135,28595
437,Vistas de Hacienda Real,Zona 16,14.62142365,-90.45553779,988.5,82034,88.11,5,2,24,2,1.5,1.5,1.5,5.537128261,5.362708027,3.373793102,0.298141886,0.293739941,0.610482845,1.616582951,0.934923239,1.364544561,2.921670699,1.71640727,1.340181147,2.863796161,0.557572252,19488
438,Vistas de la Floresta,Mixco Zona 4,14.640932,-90.556042,1427.304348,96325.13043,68.13043478,10,2,144,2,2.086956522,1.695652174,1.652173913,5.016675662,3.392784903,0.582438748,1.881063259,0.17343757,0.548975895,0.6055307,0.212820536,1.125570052,1.838177638,0.493380102,0.240945242,0.776962804,0.108088225,465775
439,Vistas de la Floresta Torre 2,Mixco Zona 4,14.64127,-90.555943,1353,111153.6667,82,10,2,72,2,2.666666667,2,1.666666667,5.030708029,3.387964652,0.590768408,1.892810656,0.181775609,0.580589948,0.63259076,0.245251476,1.159075092,1.870652355,0.497615854,0.236049571,0.808480615,0.073224711,465775
440,Vistas de Las Charcas,Zona 11,14.58979258,-90.56273911,1751.105263,117668.7895,68.84210526,11,1,83,2,2.578947368,1.789473684,2,4.488318794,5.818484319,0.280465094,1.748536285,0.363521198,1.196924498,1.128654106,0.604035287,0.24499637,0.05589955,0.193381086,1.115228003,0.181170011,0.156743875,35003
441,Vitae,Zona 15,14.59285,-90.4952,1799.4,187085.5,104.05,7,1,26,2,1.9,2.1,1.6,1.146911772,3.952259148,2.49098216,0.851035885,0.47257022,0.565132529,0.454713222,0.14816414,0.173730358,1.028279521,0.12990876,0.153190659,2.059372091,0.150547721,11192
442,Viu Cayalá,Zona 16,14.6113654,-90.48383183,1505.714286,225241.3333,151.6666667,8,4,101,6,2,1.666666667,1.666666667,2.567007484,3.093381794,1.943794912,2.732628934,0.20552965,0.185426385,0.264262878,0.002835232,0.075950039,2.74187896,0.321018114,0,1.538406881,0.032715418,38996
443,Viuré,Zona 12,14.588148,-90.54375,1707.375,72972,42.455,13,1,76,3,1.5,1,0.5,2.741988567,4.878797747,0.846369584,0.145796206,0.119978407,0.291487165,0.820013954,0.414073783,0.101616198,0.984324734,0.222650179,0.445085523,0.183612509,0.150100193,28595
444,Vivalt,Zona 10,14.593281,-90.50694,1834.827586,230242.7241,126.4444444,12,1,42,2,2.310344828,2.086206897,1.862068966,0.277833367,3.683174584,1.37811114,0.19541858,0.103847905,0.117288822,0.506825309,0.374344372,0.126839537,0.116538802,0.337590037,0.26845219,1.369615658,0.192227136,7700
445,Viventi Once (original),Zona 11,14.6271569,-90.56649585,1402.72973,115508.5946,84.29189189,3,2,40,1,2.405405405,2,2,5.236703269,4.377802283,0.745289421,2.332537559,0.090723713,0.571955513,0.252866559,0.00135642,0.155958679,1.335966335,0.293209769,0.277872226,0.184333587,0.337658416,35003
446,Viventi Once (relanzamiento),Zona 11,14.63107,-90.568737,1442.708333,149470.25,103.8333333,6,2,40,2,2.416666667,2.5,2,5.590411605,4.573126991,1.086162446,2.647095142,0.218163393,0.62572814,0.282032303,0.240638478,0.211972431,1.107292196,0.363943481,0.37949521,0.239486412,0.100004067,35003
447,Vivenza,Zona 10,14.59521004,-90.50848716,1584.85,217991.2,138.1,12,1,32,2,2.55,2.0375,2,0.1509182,3.487127982,1.156160646,0.193516977,0.060137347,0.361959922,0.436419787,0.234316986,0.077365479,0.124129223,0.413144896,0.206389863,1.506423366,0.18596629,7700
448,Vivo,Zona 4,14.61871757,-90.5156,1737.375,100935.75,58.604375,18,2,177,2,2,1.75,0.3125,0.994099211,1.231442489,0.118917977,0.009256029,0.056795032,0.148854129,0.206088772,0,0.036945359,0.144962318,0.046503361,0.094803586,0.417516069,0.003558282,2375
449,Vivo (Comosa),Zona 4,14.61871757,-90.5156,1510.166667,62350.33333,41.55833333,7,1,41,2,1,1,1,0.994099211,1.231442489,0.118917977,0.009256029,0.056795032,0.148854129,0.206088772,0,0.036945359,0.144962318,0.046503361,0.094803586,0.417516069,0.003558282,2375
450,Vivo T1 y T2,Zona 4,14.62359,-90.5156,1914.6,113256.4,59.892,18,2,177,2,2,1.8,1,1.475932199,0.749828533,0.109917865,0.06801354,0.169784431,0.224770371,0.153248521,0.244623434,0.085614008,0.195938359,0.084812733,0.161696741,0.481294289,0.016003884,2375
451,Vivo T3,Zona 4,14.623725,-90.515698,1820.518519,105756.3333,59.44259259,16,1,131,2,2,1.518518519,0.814814815,1.488180304,0.737969842,0.093575842,0.07943775,0.186000627,0.212286366,0.152260518,0.228850087,0.068934311,0.209106991,0.068795014,0.178378454,0.497075842,0.023097078,2375
452,Vivo Zona 13,Zona 13,14.570116,-90.528363,2053.64,123621.24,60.6684,5,2,214,2,2.04,1.68,1.24,3.133610115,6.228894408,0.134553749,1.566052372,0.131475245,0.242704075,0.407174149,0.093515681,0.579086267,0.774838331,0.200834265,0.638466553,0.078848754,1.884511544,25850
453,Xerenti,Zona 14,14.580237,-90.504127,1758.666667,136821.2222,78,13,1,105,2,2,1.666666667,1.666666667,1.602126368,5.003241256,1.922961487,0.588916715,0.15577038,0.143490199,0.883171556,0.303239958,0.586185983,1.080463552,0.440248124,0.529744587,0.720773683,0.729015409,16390
454,Zen Cayalá,Zona 16,14.61797,-90.4847,1847.85,324261.35,180.45,8,1,61,2,2.375,2.825,2,2.675919198,2.666998387,1.374983105,2.651192231,0.274609201,0.849202299,0.765589801,0.420290942,0.618519766,2.882481014,0.747748074,0.110160353,0.881973081,0.042446417,38996
455,Zoe Apartamentos,Zona 14,14.581927,-90.503409,2064.714286,164196.8571,81,2,1,37,2,2,1.666666667,2,1.450204138,4.841863652,1.950379316,0.438568097,0.264309226,0.213032888,0.717716938,0.322186951,0.467548412,0.924725463,0.260828242,0.413781807,0.814268482,0.565544676,16390
456,Zolaria,Zona 14,14.57748692,-90.52001252,1936,211313.3333,109.2333333,12,1,59,2,2,2,1.666666667,2.21215709,5.373753114,0.475150842,1.386487987,0.523590356,0.236901826,0.315300316,0.270278544,0.246061249,0.822352978,0.47062947,0.470761216,0.811148703,0.960474934,16390
457,Taormina 15,Zona 15,14.584801,-90.492548,2776.17,317343.66,114.31,7,1,27,2,1,1.5,2,1.816648191,4.799977376,2.932965458,0.638490221,0.22060968,0.537312703,0.497290508,0.073536052,0.48462571,1.428813345,0.360329342,0.231686734,1.952663219,0.400274015,11192
458,Villas de Santa Catalina,Villa Nueva,14.532442,-90.58098,1296.16,87414.67,67.44,4,2,40,0,3,1,1,9.167955466,11.54707284,3.645878329,2.437518359,2.760956102,3.326555732,4.800191969,0.039486323,0.418881846,0.495862686,0.448414297,0.344233692,0.123937108,0.653608328,433734
